Time [s],Channel 0
1.242857834,1
1.242857876,0
1.242857914,1
1.242857956,0
1.242858034,1
1.242858076,0
1.242858114,1
1.242858196,0
1.242858234,1
1.242858276,0
1.242858354,1
1.242858436,0
1.242858474,1
1.242858516,0
1.242858594,1
1.242858636,0
1.242858674,1
1.242858756,0
1.242858794,1
1.242858836,0
1.242858874,1
1.242858916,0
1.242858954,1
1.242858996,0
1.242859034,1
1.242859076,0
1.242859154,1
1.242859196,0
1.242859234,1
1.242859276,0
1.242859314,1
1.242859396,0
1.242859434,1
1.242859476,0
1.242859514,1
1.242859556,0
1.242859634,1
1.242859676,0
1.242859714,1
1.242859756,0
1.242859794,1
1.242859836,0
1.242859874,1
1.242859916,0
1.242859954,1
1.242859996,0
1.242860034,1
1.242860116,0
1.242860154,1
1.242860196,0
1.242860234,1
1.242860276,0
1.242860354,1
1.242860396,0
1.242860434,1
1.242860516,0
1.242860594,1
1.242860636,0
1.242860674,1
1.242860716,0
1.242860754,1
1.242860796,0
1.242860834,1
1.242860916,0
1.242860954,1
1.242860996,0
1.242861034,1
1.242861076,0
1.242861154,1
1.242861196,0
1.242861234,1
1.242861276,0
1.242861314,1
1.242861396,0
1.242861434,1
1.242861476,0
1.242861554,1
1.242861596,0
1.242861634,1
1.242861676,0
1.242861714,1
1.242861796,0
1.242861834,1
1.242861876,0
1.242861954,1
1.242862036,0
1.242862074,1
1.242862116,0
1.242862194,1
1.242862236,0
1.242862274,1
1.242862356,0
1.242862394,1
1.242862436,0
1.242862514,1
1.242862556,0
1.242862594,1
1.242862636,0
1.242862674,1
1.242862756,0
1.242862794,1
1.242862836,0
1.242862914,1
1.242862956,0
1.242862994,1
1.242863076,0
1.242863154,1
1.242863196,0
1.242863234,1
1.242863276,0
1.242863314,1
1.242863396,0
1.242863434,1
1.242863476,0
1.242863514,1
1.242863556,0
1.242863594,1
1.242863636,0
1.242863714,1
1.242863756,0
1.242863794,1
1.242863836,0
1.242863874,1
1.242863956,0
1.242863994,1
1.242864036,0
1.242864074,1
1.242864116,0
1.242864154,1
1.242864194,0
1.242864274,1
1.242864316,0
1.242864354,1
1.242864436,0
1.242864474,1
1.242864514,0
1.242864554,1
1.242864594,0
1.242864634,1
1.242864674,0
1.242864714,1
1.242864756,0
1.242864834,1
1.242864876,0
1.242864914,1
1.242864956,0
1.242864994,1
1.242865076,0
1.242865114,1
1.242865156,0
1.242865194,1
1.242865236,0
1.242865274,1
1.242865316,0
1.242865394,1
1.242865476,0
1.242865554,1
1.242865566,0
1.242865578,1
1.242865586,0
1.242865604,1
1.242865616,0
4.115660800,0
